GVKEY;DATADATE;SIC;AT;CHE;DLC;DLTT;SEQ;WCAP;DVC;OIBDP;SALE;TXT;XINT;XRD;AQC;CAPX;CSHO;PRCC_F;market_to_book;log_firm_size;cf;nwc;capex;leverage;div;rd_to_sales;sic_2;ind_cf_vol;ind_cf_no_level_vol;cash;log_cash;aqc_to_asset;year
012874;20151231;3845;48.6400;15.2800;0.9690;0.0860;32.7460;13.4880;;0.8450;41.5540;0.0160;0.6500;9.1630;0.0350;0.9320;15.7380;5.1700;1.9995777138;3.8844462377;;-0.036842105;0.0191611842;0.0216899671;0;0.2205082543;38;0.0632957265;93.014844652;0.3141447368;-0.780812794;0.0007185579;2015
012886;20150630;4888;50051.0000;8428.0000;244.0000;18795.0000;17220.0000;10114.0000;586.0000;6642.0000;28987.0000;1243.0000;1198.0000;;0.0028;424.0000;2038.4930;32.5450;1.9814540106;10.820797765;0.0722263291;0.0336856406;0.0084713592;0.3803920002;1;0;48;0.0466568352;939.83483306;0.168388244;-1.597093403;5.6684305E-8;2015
012886;20150630;4888;50051.0000;8428.0000;244.0000;18795.0000;17220.0000;10114.0000;586.0000;6642.0000;28987.0000;1243.0000;1198.0000;;0.0028;424.0000;2038.4930;32.5450;1.9814540106;10.820797765;0.0722263291;0.0336856406;0.0084713592;0.3803920002;1;0;48;0.0466568352;939.83483306;0.168388244;-1.597093403;5.6684305E-8;2015
012892;20151231;5172;6247.5830;61.7830;5.0840;1952.5310;3074.2400;338.5500;324.6140;527.4370;16935.3470;47.0700;90.3390;;0.3072;368.4050;87.3660;39.6100;1.0618362749;8.7399499479;0.0104702891;0.0442998516;0.058967604;0.3133395747;1;0;51;0.0269803054;61.497578911;0.0098891043;-4.606383376;0.0000491655;2015
012895;20151231;2810;4539.4000;258.0000;7.1000;1444.1000;1578.3000;573.9000;45.3000;336.8000;3361.1000;-43.9000;79.2000;;0.0000;196.7000;70.5820;15.4000;0.8917616425;8.4205501237;0.056439177;0.0695906948;0.0433317178;0.3196898268;1;0;28;0.1594186108;281.99144253;0.0568357052;-2.809075753;0;2015
012909;20151231;6331;24941.2710;5198.0070;30.2670;2211.1600;7834.1500;;0.0000;1039.8950;5370.2450;152.9630;118.3010;;0.0105;79.7550;13.9590;883.3500;1.1802848239;10.12427918;0.0308176356;;0.0031977119;0.0898681948;0;0;63;0.0233668766;856.47686929;0.2084098681;-1.334537087;4.2040648E-7;2015
012915;20151231;2835;189.3210;101.3190;0.0000;0.0000;159.4360;111.4800;;13.7540;119.7190;0.6650;0.0000;11.6540;;3.7440;56.4820;6.4400;2.0791622694;5.2434439871;;0.0536707497;0.0197759361;0;0;0.0973446153;28;0.1594186108;281.99144253;0.5351704248;0.1409144139;;2015
012926;20150930;6512;252.6210;0.4190;4.1800;44.5050;182.3420;;0.0000;19.7270;34.6460;3.8950;2.9390;;0.0000;6.4930;9.7920;30.1400;1.4464746795;5.5318903419;0.0510369288;;0.0257025346;0.1927195285;0;0;65;0.0519744322;71.183897977;0.0016586111;-6.400114713;0;2015
012945;20150930;3672;1702.3880;357.1060;3.5130;259.2570;842.2720;765.4270;0.0000;165.5050;2654.2900;11.9630;13.9640;;0.0000;35.0760;33.5000;38.5800;1.2644273808;7.4397872503;0.0819895347;0.2398519022;0.0206039986;0.1543537666;0;0;36;0.0530655079;357.40218539;0.209767691;-1.326326279;0;2015
012950;20150331;5084;5973.6100;50.7240;575.9810;1748.6620;2151.5860;286.6370;164.5170;970.6880;5304.8850;216.0350;64.1910;;0.0086;468.7890;75.3570;106.1100;1.9783941821;8.6951067138;0.0880447502;0.0394925347;0.0784766665;0.3891521207;1;0;50;0.0285055789;55.21263162;0.0084913478;-4.760179938;1.4399164E-6;2015
012972;20150930;5411;1671.3830;7.5050;12.6510;882.6920;428.9780;179.0530;12.9770;239.8680;3778.6440;35.1050;47.3780;;0.0000;104.0560;20.2600;47.8300;1.3231203141;7.4214067064;0.0864003044;0.102638354;0.0622574239;0.5356899047;1;0;54;0.0392141518;163.80987147;0.0044902934;-5.401336836;0;2015
012976;20150131;5700;645.7220;19.7460;84.2470;0.1760;422.2860;276.1330;0.0000;5.9000;2356.0330;-3.0660;3.8610;0.0000;0.0000;12.8490;22.7360;11.3500;0.7456608262;6.4703690706;0.007905879;0.3970547697;0.0198986561;0.1307420221;0;0;57;0.0532811237;101.98829922;0.0305797232;-3.456361093;0;2015
013003;20151031;3532;3712.4460;102.8850;26.3210;1060.6430;1420.0090;1157.5220;77.9500;391.8250;3172.1470;0.8750;64.1390;36.2000;0.0308;71.3360;97.5970;17.1800;1.0691477964;8.2194462376;0.067034241;0.2840814385;0.0192153637;0.2927891746;1;0.0114118293;35;0.0501003464;196.94355338;0.0277135344;-3.557729578;8.2971181E-6;2015
013032;20151231;5900;1378.9970;65.7930;0.0000;211.5580;998.1590;573.9180;5.3860;113.0850;1029.4910;15.4780;14.4570;0.0000;0.0008;20.4360;24.8720;29.9500;0.816357396;7.2291117023;0.0563917108;0.3684743332;0.0148194666;0.1534144019;1;0;59;0.0396501762;212.98390556;0.0477107637;-2.993711782;5.8318306E-7;2015
