Day;Date;Spot;Vol;Rate;Hedge;Rehedge_Value;Option_Value;Interpolated_Vol;Delta;Maturity;Forward;Hedge_Position;Stock_Position;Trading_Gain;Position_Value;Acc_Trading_Gain;Trades;Hedge_name;Scenario;Scenario_Group;Hedge_Type;Day_Type
0.25;2007-01-08;1.3006;6.475;0.016020518;1;1.3006;16906.90504;0.06474714;-493699.0447;0.25297619;1.30588178;200000;[(200000.0,_1.3058817799775742)];;16906.90504;0;1;200k;scenario18;170;fix;First
0.25;2007-02-15;1.313;5.95;0.015186422;1;1.313;15684.57907;0.059497288;-494231.8363;0.25297619;1.31805399;200000;[(200000.0,_1.31805398958174)];;15684.57907;0;1;200k;scenario19;170;fix;First
0.25;1999-05-28;1.0427;8.85;0.025410844;1;1.0427;18527.13048;0.088495464;-491348.0993;0.25297619;1.049424419;200000;[(200000.0,_1.0494244188302504)];;18527.13048;0;1;200k;scenario2;170;fix;First
0.25;2007-04-16;1.3539;6.05;0.013828509;1;1.3539;16443.93463;0.060497531;-494110.5146;0.25297619;1.35864462;200000;[(200000.0,_1.3586446202416154)];;16443.93463;0;1;200k;scenario20;170;fix;First
0.25;2007-05-25;1.3428;5.25;0.012727161;1;1.3428;14153.11737;0.052497728;-494923.9383;0.25297619;1.347130339;200000;[(200000.0,_1.3471303385244826)];;14153.11737;0;1;200k;scenario21;170;fix;First
0.25;2007-07-11;1.3747;5.725;0.010575787;1;1.3747;15798.09016;0.057248112;-494401.9905;0.25297619;1.378382827;200000;[(200000.0,_1.3783828274073386)];;15798.09016;0;1;200k;scenario22;170;fix;First
0.25;2012-04-05;1.3142;10.6675;0.002485462;1;1.3142;28128.4409;0.106674556;-489317.2218;0.25297619;1.31502658;200000;[(200000.0,_1.3150265797853322)];;28128.4409;0;1;200k;scenario23;170;fix;First
0.25;2013-04-10;1.3083;8.09;0.002388568;1;1.3083;21237.61379;0.080899574;-491907.3377;0.25297619;1.30909078;200000;[(200000.0,_1.3090907802560035)];;21237.61379;0;1;200k;scenario24;170;fix;First
0.25;2013-08-01;1.3302;8.26;0.001332492;1;1.3302;22046.11181;0.082599762;-491726.2613;0.25297619;1.330648471;200000;[(200000.0,_1.3306484710382742)];;22046.11181;0;1;200k;scenario25;170;fix;First
0.25;2013-09-19;1.3521;7.39;0.000995033;1;1.3521;20048.95627;0.073899822;-492596.8372;0.25297619;1.352440393;200000;[(200000.0,_1.352440392989234)];;20048.95627;0;1;200k;scenario26;170;fix;First
