"","sigma_s","sigma_e","theta","k_d","lambda","lambda_real","v_bar","time","price","price_cond","k_tilde"
"14073",1,1,1,1.5,0.5,0.95,5,7.11,6.09070395920951,-0.41099537148137,2.59756335352477
"14074",1,1,1,1.5,0.5,0.95,5,7.21,6.0972064532595,-0.417497865531361,2.62959249475195
"14075",1,1,1,1.5,0.5,0.95,5,7.31,6.10360564206181,-0.423897054333667,2.66162163597914
"14076",1,1,1,1.5,0.5,0.95,5,7.41,6.10990316682888,-0.43019457910074,2.69365077720632
"14077",1,1,1,1.5,0.5,0.95,5,7.51,6.1161006426992,-0.436392054971057,2.72567991843351
"14078",1,1,1,1.5,0.5,0.95,5,7.61,6.1221996591515,-0.442491071423361,2.7577090596607
"14079",1,1,1,1.5,0.5,0.95,5,7.71,6.12820178041245,-0.448493192684313,2.78973820088788
"14080",1,1,1,1.5,0.5,0.95,5,7.81,6.13410854585782,-0.454399958129676,2.82176734211507
"14081",1,1,1,1.5,0.5,0.95,5,7.91,6.13992147040726,-0.460212882679122,2.85379648334225
"14082",1,1,1,1.5,0.5,0.95,5,8.01,6.14564204491291,-0.465933457184763,2.88582562456944
"14083",1,1,1,1.5,0.5,0.95,5,8.11,6.15127173654166,-0.471563148813519,2.91785476579662
"14084",1,1,1,1.5,0.5,0.95,5,8.21,6.15681198915154,-0.477103401423395,2.94988390702381
"14085",1,1,1,1.5,0.5,0.95,5,8.31,6.16226422366194,-0.482555635933801,2.981913048251
"14086",1,1,1,1.5,0.5,0.95,5,8.41,6.16762983841811,-0.48792125068997,3.01394218947818
"14087",1,1,1,1.5,0.5,0.95,5,8.51,6.17291020954974,-0.493201621821601,3.04597133070537
"14088",1,1,1,1.5,0.5,0.95,5,8.61,6.17810669132393,-0.49839810359579,3.07800047193255
"14089",1,1,1,1.5,0.5,0.95,5,8.71,6.18322061649251,-0.503512028764369,3.11002961315974
"14090",1,1,1,1.5,0.5,0.95,5,8.81,6.18825329663386,-0.508544708905713,3.14205875438692
"14091",1,1,1,1.5,0.5,0.95,5,8.91,6.19320602248927,-0.51349743476113,3.17408789561411
"14092",1,1,1,1.5,0.5,0.95,5,9.01,6.19808006429403,-0.518371476565892,3.2061170368413
"14093",1,1,1,1.5,0.5,0.95,5,9.11,6.20287667210316,-0.523168084375022,3.23814617806848
"14094",1,1,1,1.5,0.5,0.95,5,9.21,6.20759707611204,-0.527888488383894,3.27017531929567
"14095",1,1,1,1.5,0.5,0.95,5,9.31,6.21224248697188,-0.532533899243743,3.30220446052285
"14096",1,1,1,1.5,0.5,0.95,5,9.41,6.21681409610031,-0.537105508372167,3.33423360175004
"14097",1,1,1,1.5,0.5,0.95,5,9.51,6.22131307598683,-0.541604488258688,3.36626274297722
"14098",1,1,1,1.5,0.5,0.95,5,9.61,6.22574058049361,-0.546031992765465,3.39829188420441
"14099",1,1,1,1.5,0.5,0.95,5,9.71,6.23009774515137,-0.550389157423227,3.4303210254316
"14100",1,1,1,1.5,0.5,0.95,5,9.81,6.23438568745065,-0.554677099722505,3.46235016665878
"14101",1,1,1,1.5,0.5,0.95,5,9.91,6.23860550712838,-0.558896919400234,3.49437930788597
"14102",1,1,1,1.5,0.5,0.95,5,10.01,6.24275828644995,-0.563049698721812,3.52640844911315
"14103",1,1,1,1.5,0.5,0.95,5,10.11,6.2468450904868,-0.56713650275866,3.55843759034034
"14104",1,1,1,1.5,0.5,0.95,5,10.21,6.25086696738954,-0.571158379661394,3.59046673156753
"14105",1,1,1,1.5,0.5,0.95,5,10.31,6.25482494865678,-0.575116360928637,3.62249587279471
"14106",1,1,1,1.5,0.5,0.95,5,10.41,6.25872004939972,-0.579011461671578,3.6545250140219
"14107",1,1,1,1.5,0.5,0.95,5,10.51,6.26255326860245,-0.58284468087431,3.68655415524908
"14108",1,1,1,1.5,0.5,0.95,5,10.61,6.26632558937819,-0.586617001650051,3.71858329647627
"14109",1,1,1,1.5,0.5,0.95,5,10.71,6.27003797922142,-0.590329391493277,3.75061243770345
"14110",1,1,1,1.5,0.5,0.95,5,10.81,6.27369139025601,-0.593982802527864,3.78264157893064
"14111",1,1,1,1.5,0.5,0.95,5,10.91,6.27728675947942,-0.597578171751275,3.81467072015783
